device_type,device_id,wafer,shim,replica,bonding_date,testing_date,aqueous_fluid,oil_fluid,aqueous_flowrate,aqueous_flowrate_unit,oil_pressure,oil_pressure_unit,measurement_type,dfu_row,roi,measurement_area,timepoint,file_name,file_type,droplet_size_mean,droplet_size_std,droplet_size_min,droplet_size_max,droplet_count,frequency_mean,frequency_min,frequency_max,frequency_count,parse_quality,date_validation_warning,raw_path,download_url,scan_timestamp,extraction_timestamp
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,dfu_measure,1,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_droplet_annotations_20251029_134219.csv,csv,25.01781394,2.789918656158506,20.096373,29.953519,50,,,,,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T19:35:44.677276,2025-10-29T19:35:44.392145
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,dfu_measure,2,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU2_B_t0_droplet_annotations_20251029_134219.csv,csv,25.001953839999995,3.0701239069628827,20.365213,29.774571,50,,,,,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU2_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T19:35:44.681845,2025-10-29T19:35:44.394982
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,dfu_measure,3,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU3_B_t0_droplet_annotations_20251029_134219.csv,csv,24.704942059999997,3.1786262647443455,20.119343,29.790609,50,,,,,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU3_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T19:35:44.685599,2025-10-29T19:35:44.396329
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,dfu_measure,4,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU4_B_t0_droplet_annotations_20251029_134219.csv,csv,24.52088268,3.0196589648561813,20.030054,29.892804,50,,,,,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU4_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T19:35:44.689023,2025-10-29T19:35:44.397554
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,dfu_measure,5,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU5_B_t0_droplet_annotations_20251029_134219.csv,csv,24.3451004,2.832201222785931,20.321627,29.870084,50,,,,,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU5_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T19:35:44.692402,2025-10-29T19:35:44.398778
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,dfu_measure,6,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU6_B_t0_droplet_annotations_20251029_134219.csv,csv,25.138662100000005,3.0235542556454655,20.025759,29.5297,50,,,,,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU6_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T19:35:44.695787,2025-10-29T19:35:44.399994
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,freq_analysis,1,1,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI1_frequency_analysis.txt,txt,,,,,,11.47,11.47,11.47,5,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI1_frequency_analysis.txt,,2025-10-29T19:35:44.699361,2025-10-29T19:35:44.401205
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,freq_analysis,1,2,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI2_frequency_analysis.txt,txt,,,,,,18.54,18.54,18.54,6,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI2_frequency_analysis.txt,,2025-10-29T19:35:44.703334,2025-10-29T19:35:44.401779
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,freq_analysis,1,3,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI3_frequency_analysis.txt,txt,,,,,,19.51,19.51,19.51,4,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI3_frequency_analysis.txt,,2025-10-29T19:35:44.707052,2025-10-29T19:35:44.402095
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,SDS,SO,40,ml/hr,100,mbar,freq_analysis,1,4,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI4_frequency_analysis.txt,txt,,,,,,14.83,14.83,14.83,7,complete,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI4_frequency_analysis.txt,,2025-10-29T19:35:44.710756,2025-10-29T19:35:44.402390
