device_type,device_id,wafer,shim,replica,bonding_date,testing_date,aqueous_fluid,oil_fluid,aqueous_flowrate,aqueous_flowrate_unit,oil_pressure,oil_pressure_unit,measurement_type,dfu_row,roi,measurement_area,timepoint,file_name,file_type,droplet_size_mean,droplet_size_std,droplet_size_min,droplet_size_max,droplet_count,frequency_mean,frequency_min,frequency_max,frequency_count,parse_quality,date_validation_warning,raw_path,download_url,scan_timestamp,extraction_timestamp
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,dfu,measure,40,ml/hr,100,mbar,,1,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_droplet_annotations_20251029_134219.csv,csv,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.138202
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,dfu,measure,40,ml/hr,100,mbar,,2,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU2_B_t0_droplet_annotations_20251029_134219.csv,csv,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU2_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.138848
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,dfu,measure,40,ml/hr,100,mbar,,3,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU3_B_t0_droplet_annotations_20251029_134219.csv,csv,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU3_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.138997
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,dfu,measure,40,ml/hr,100,mbar,,4,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU4_B_t0_droplet_annotations_20251029_134219.csv,csv,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU4_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.139129
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,dfu,measure,40,ml/hr,100,mbar,,5,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU5_B_t0_droplet_annotations_20251029_134219.csv,csv,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU5_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.139263
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,dfu,measure,40,ml/hr,100,mbar,,6,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU6_B_t0_droplet_annotations_20251029_134219.csv,csv,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/dfu_measure/1308_0109_w13_s1_r1_40mlhr100mbar_DFU6_B_t0_droplet_annotations_20251029_134219.csv,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.139397
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,freq,analysis,40,ml/hr,100,mbar,,1,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI1_frequency_analysis.txt,txt,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI1_frequency_analysis.txt,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.139527
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,freq,analysis,40,ml/hr,100,mbar,,1,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI2_frequency_analysis.txt,txt,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI2_frequency_analysis.txt,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.139655
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,freq,analysis,40,ml/hr,100,mbar,,1,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI3_frequency_analysis.txt,txt,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI3_frequency_analysis.txt,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.139782
W13,W13_S1_R1,13,1,1,2025-08-13,2025-09-01,freq,analysis,40,ml/hr,100,mbar,,1,,B,0,1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI4_frequency_analysis.txt,txt,,,,,,,,,,partial,,W13_S1_R1/13082025/01092025/40mlhr100mbar/freq_analysis/1308_0109_w13_s1_r1_40mlhr100mbar_DFU1_B_t0_ROI4_frequency_analysis.txt,,2025-10-29T14:03:02.584096,2025-10-29T14:02:59.139926
