droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,4,258,280.61,614.26,15.70,22.037210,10x,1.425
2,2,112,787.99,712.60,15.89,22.302080,10x,1.425
3,5,93,354.51,750.53,20.96,29.419936,10x,1.425
4,4,89,172.99,192.63,16.98,23.833202,10x,1.425
5,1,295,521.12,886.66,20.31,28.499928,10x,1.425
6,4,291,111.05,426.41,18.94,26.576947,10x,1.425
7,1,63,729.54,693.69,14.60,20.495172,10x,1.425
8,3,194,488.70,503.94,20.46,28.718907,10x,1.425
9,1,116,319.90,781.50,19.19,26.926773,10x,1.425
10,2,213,358.63,803.54,18.05,25.335934,10x,1.425
11,1,246,118.14,239.30,16.25,22.812342,10x,1.425
12,4,72,661.01,523.57,17.41,24.431389,10x,1.425
13,5,203,373.24,153.12,20.19,28.342137,10x,1.425
14,1,157,240.29,677.48,18.24,25.594049,10x,1.425
15,1,142,746.04,837.69,18.20,25.538117,10x,1.425
16,2,37,398.20,788.17,19.53,27.406782,10x,1.425
17,2,17,566.60,219.19,16.56,23.240826,10x,1.425
18,1,289,689.19,231.10,15.69,22.025673,10x,1.425
19,5,121,683.85,602.26,16.39,23.000845,10x,1.425
20,5,188,466.61,531.56,15.56,21.843213,10x,1.425
21,5,287,432.88,625.70,19.29,27.079515,10x,1.425
22,2,43,341.65,585.74,14.40,20.210432,10x,1.425
23,5,288,585.27,561.74,20.04,28.132651,10x,1.425
24,1,257,234.43,381.77,21.00,29.468482,10x,1.425
25,3,280,286.04,369.91,21.04,29.529700,10x,1.425
26,5,22,549.17,734.18,20.62,28.936815,10x,1.425
27,4,87,697.51,830.31,19.87,27.890930,10x,1.425
28,1,191,539.06,199.10,15.27,21.431834,10x,1.425
29,3,205,772.23,572.60,19.84,27.842020,10x,1.425
30,5,185,618.42,623.74,17.51,24.575022,10x,1.425
31,5,37,190.46,129.74,16.44,23.080317,10x,1.425
32,5,193,739.63,505.76,16.07,22.551737,10x,1.425
33,3,27,320.27,890.55,17.10,24.002773,10x,1.425
34,1,216,781.71,738.87,14.96,20.989544,10x,1.425
35,3,165,732.91,891.30,20.19,28.337235,10x,1.425
36,1,269,553.31,595.73,15.26,21.423424,10x,1.425
37,4,42,240.45,335.73,18.14,25.457246,10x,1.425
38,2,147,466.78,111.78,20.43,28.669762,10x,1.425
39,2,59,176.26,729.19,14.39,20.190263,10x,1.425
40,5,108,679.73,309.66,14.27,20.025759,10x,1.425
41,5,168,706.30,315.65,20.28,28.461500,10x,1.425
42,5,171,674.98,138.15,15.78,22.143252,10x,1.425
43,1,9,108.18,246.16,16.27,22.828605,10x,1.425
44,3,14,789.91,675.75,20.55,28.847945,10x,1.425
45,4,12,785.22,428.26,16.71,23.452720,10x,1.425
46,5,204,708.42,433.19,17.23,24.184461,10x,1.425
47,5,56,352.00,754.49,20.50,28.773237,10x,1.425
48,2,120,732.53,236.53,17.14,24.051738,10x,1.425
49,5,41,619.47,685.27,20.20,28.346138,10x,1.425
50,2,256,554.00,146.72,19.69,27.636586,10x,1.425
