droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,4,86,290.26,561.99,15.01,21.064981,10x,1.425
2,2,79,134.31,555.07,14.68,20.602399,10x,1.425
3,4,22,686.33,317.71,15.00,21.056551,10x,1.425
4,3,232,174.04,584.73,16.17,22.698678,10x,1.425
5,1,150,767.49,182.24,20.61,28.929941,10x,1.425
6,5,70,705.64,312.06,21.29,29.878533,10x,1.425
7,5,258,628.23,256.73,16.34,22.935525,10x,1.425
8,1,185,770.63,673.48,18.96,26.608269,10x,1.425
9,2,66,240.28,376.16,19.17,26.909543,10x,1.425
10,4,50,271.22,116.93,20.22,28.379658,10x,1.425
11,2,193,113.90,746.19,17.84,25.045295,10x,1.425
12,1,296,519.09,167.68,20.30,28.495558,10x,1.425
13,5,87,160.98,171.00,14.91,20.929947,10x,1.425
14,2,175,498.97,562.74,18.65,26.168476,10x,1.425
15,4,18,605.17,102.35,18.11,25.418780,10x,1.425
16,3,141,498.13,745.86,16.77,23.530840,10x,1.425
17,4,236,154.68,490.95,15.46,21.693654,10x,1.425
18,3,251,120.50,673.50,20.05,28.143426,10x,1.425
19,3,169,740.76,320.70,19.29,27.076391,10x,1.425
20,4,11,622.36,558.92,15.78,22.148843,10x,1.425
21,5,244,189.40,162.41,17.78,24.957920,10x,1.425
22,3,77,778.42,268.18,20.05,28.135864,10x,1.425
23,1,216,146.95,583.64,17.95,25.186853,10x,1.425
24,4,213,510.44,814.36,20.05,28.145665,10x,1.425
25,4,128,338.36,617.73,14.42,20.235237,10x,1.425
26,4,248,327.61,591.84,19.81,27.800874,10x,1.425
27,2,216,483.23,670.59,15.07,21.145801,10x,1.425
28,3,29,637.09,544.58,20.20,28.347341,10x,1.425
29,2,48,626.13,628.58,17.35,24.354570,10x,1.425
30,3,82,125.72,725.73,16.67,23.403192,10x,1.425
31,4,90,355.60,218.05,19.39,27.217309,10x,1.425
32,5,162,283.79,218.68,14.52,20.381261,10x,1.425
33,1,71,381.24,489.05,15.51,21.772874,10x,1.425
34,4,151,277.49,445.52,21.14,29.668061,10x,1.425
35,4,26,389.30,640.86,20.40,28.638341,10x,1.425
36,2,108,181.29,882.82,18.98,26.638469,10x,1.425
37,4,231,492.15,771.90,17.55,24.630541,10x,1.425
38,4,12,332.33,790.03,15.52,21.779169,10x,1.425
39,4,269,122.05,632.54,19.43,27.270604,10x,1.425
40,4,166,249.08,865.40,21.16,29.693742,10x,1.425
41,4,107,360.19,680.70,17.50,24.557435,10x,1.425
42,4,135,212.58,648.20,18.99,26.655125,10x,1.425
43,1,222,720.25,213.33,14.52,20.383281,10x,1.425
44,3,165,725.66,343.51,14.38,20.185730,10x,1.425
45,5,281,736.99,736.69,15.38,21.586547,10x,1.425
46,2,78,131.41,463.92,20.31,28.500018,10x,1.425
47,4,240,196.80,232.50,15.52,21.786809,10x,1.425
48,4,80,420.31,309.21,16.94,23.771324,10x,1.425
49,5,257,600.14,551.11,19.65,27.572959,10x,1.425
50,1,35,290.86,425.05,19.62,27.532594,10x,1.425
