droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,3,60,746.71,822.65,20.19,28.338236,10x,1.425
2,2,54,260.24,674.65,19.13,26.853030,10x,1.425
3,1,261,388.22,818.64,18.70,26.251708,10x,1.425
4,2,240,302.60,498.43,16.56,23.248672,10x,1.425
5,1,98,202.52,277.61,19.92,27.962472,10x,1.425
6,5,141,593.06,456.53,21.16,29.701377,10x,1.425
7,4,203,660.97,585.23,14.73,20.678666,10x,1.425
8,3,242,216.59,337.37,18.04,25.324303,10x,1.425
9,2,254,623.62,781.07,19.13,26.853689,10x,1.425
10,1,31,453.18,634.70,20.13,28.253363,10x,1.425
11,2,271,612.79,890.18,20.77,29.144426,10x,1.425
12,5,206,169.53,381.13,17.00,23.857196,10x,1.425
13,4,113,739.35,358.78,21.14,29.674609,10x,1.425
14,3,217,220.55,248.33,14.60,20.493219,10x,1.425
15,3,59,326.74,420.53,16.62,23.328208,10x,1.425
16,2,32,428.37,201.01,17.42,24.454599,10x,1.425
17,5,300,437.05,792.21,19.63,27.554667,10x,1.425
18,4,239,766.90,254.52,19.68,27.627358,10x,1.425
19,2,271,372.79,360.44,19.91,27.945495,10x,1.425
20,3,107,424.98,554.27,20.18,28.316302,10x,1.425
21,4,121,248.05,562.67,16.65,23.365065,10x,1.425
22,4,257,586.34,141.34,14.87,20.875106,10x,1.425
23,5,230,778.83,531.30,17.97,25.219867,10x,1.425
24,2,85,467.94,459.16,18.84,26.444550,10x,1.425
25,1,23,414.02,334.93,18.04,25.319058,10x,1.425
26,3,167,356.82,650.73,15.94,22.376892,10x,1.425
27,5,90,679.83,641.60,16.85,23.654128,10x,1.425
28,2,295,621.76,325.18,19.07,26.770908,10x,1.425
29,1,52,433.95,344.46,17.98,25.233866,10x,1.425
30,3,54,601.49,340.37,15.47,21.709152,10x,1.425
31,1,190,342.88,572.14,17.36,24.361654,10x,1.425
32,5,195,536.78,188.41,18.41,25.837991,10x,1.425
33,3,192,795.73,312.18,19.70,27.653593,10x,1.425
34,3,50,146.83,383.63,21.06,29.557556,10x,1.425
35,3,130,225.57,401.20,14.29,20.061971,10x,1.425
36,5,127,205.14,627.61,19.85,27.852997,10x,1.425
37,5,87,134.09,263.30,17.19,24.123935,10x,1.425
38,4,291,792.64,186.92,16.39,23.007166,10x,1.425
39,3,18,104.14,292.48,17.13,24.044491,10x,1.425
40,5,258,341.86,416.21,17.66,24.789233,10x,1.425
41,2,293,102.03,837.96,19.39,27.216370,10x,1.425
42,5,286,111.95,877.21,20.71,29.063984,10x,1.425
43,1,266,229.77,493.41,20.47,28.727863,10x,1.425
44,4,3,452.27,286.62,19.74,27.700115,10x,1.425
45,4,188,211.80,118.09,20.34,28.544929,10x,1.425
46,4,90,202.95,413.11,16.24,22.795388,10x,1.425
47,2,97,309.57,566.99,19.27,27.048376,10x,1.425
48,2,235,476.02,471.54,14.41,20.220923,10x,1.425
49,4,195,126.51,879.24,14.87,20.876284,10x,1.425
50,1,254,641.97,421.35,15.05,21.117063,10x,1.425
