droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,5,248,285.61,626.09,14.71,20.641506,10x,1.425
2,3,72,635.45,598.50,17.08,23.966798,10x,1.425
3,4,297,278.06,594.90,19.49,27.352375,10x,1.425
4,5,28,352.60,584.06,17.77,24.942804,10x,1.425
5,5,173,582.86,303.47,17.07,23.957443,10x,1.425
6,1,265,695.17,313.11,18.73,26.281208,10x,1.425
7,1,252,748.31,815.88,15.44,21.676567,10x,1.425
8,1,216,269.71,375.63,20.75,29.122371,10x,1.425
9,3,153,386.91,222.92,18.09,25.391446,10x,1.425
10,2,205,400.55,391.84,19.42,27.258972,10x,1.425
11,3,59,617.19,899.68,19.81,27.798474,10x,1.425
12,2,175,120.35,452.00,14.70,20.632695,10x,1.425
13,5,284,236.62,273.14,14.62,20.515900,10x,1.425
14,1,102,252.05,896.38,20.36,28.570538,10x,1.425
15,4,194,603.05,564.44,15.56,21.843465,10x,1.425
16,5,26,445.92,403.61,21.15,29.685088,10x,1.425
17,4,76,578.66,274.77,18.50,25.971715,10x,1.425
18,1,218,556.62,837.22,20.44,28.689073,10x,1.425
19,4,11,555.02,845.12,17.60,24.696077,10x,1.425
20,4,236,278.60,633.09,16.00,22.453214,10x,1.425
21,3,61,650.61,713.27,16.37,22.971831,10x,1.425
22,5,115,535.59,439.28,18.51,25.975906,10x,1.425
23,1,278,368.11,729.81,20.49,28.764748,10x,1.425
24,5,275,624.20,123.79,21.02,29.499870,10x,1.425
25,4,137,450.15,329.18,17.46,24.504017,10x,1.425
26,3,2,411.30,883.75,15.98,22.430700,10x,1.425
27,1,33,596.86,899.83,17.02,23.882037,10x,1.425
28,4,236,203.19,235.84,15.95,22.388090,10x,1.425
29,2,110,288.26,181.96,18.55,26.031425,10x,1.425
30,3,6,732.07,201.80,14.52,20.385905,10x,1.425
31,3,187,767.84,223.76,21.26,29.844269,10x,1.425
32,1,128,709.04,578.30,14.33,20.105525,10x,1.425
33,5,186,363.00,500.80,14.38,20.177739,10x,1.425
34,3,180,110.15,506.45,15.35,21.550572,10x,1.425
35,5,56,795.60,682.08,17.67,24.793265,10x,1.425
36,2,192,545.89,801.18,20.58,28.881194,10x,1.425
37,3,28,319.31,792.25,19.93,27.978449,10x,1.425
38,1,23,728.63,582.84,20.09,28.202586,10x,1.425
39,2,226,505.65,263.38,19.09,26.798008,10x,1.425
40,4,185,249.92,302.95,19.07,26.760507,10x,1.425
41,3,26,348.31,760.00,18.56,26.052941,10x,1.425
42,2,49,546.19,578.53,19.78,27.762663,10x,1.425
43,3,125,340.42,363.54,16.53,23.196061,10x,1.425
44,2,67,251.55,307.60,15.25,21.410482,10x,1.425
45,1,277,449.78,652.20,17.67,24.806902,10x,1.425
46,3,231,185.43,232.70,18.09,25.395110,10x,1.425
47,5,103,580.56,138.13,17.47,24.514707,10x,1.425
48,5,262,187.97,331.52,16.86,23.663327,10x,1.425
49,5,97,204.10,269.36,16.10,22.601554,10x,1.425
50,4,168,579.91,733.07,19.40,27.221576,10x,1.425
