droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,5,80,243.29,714.50,10.05,14.105402,10x,1.425
2,1,81,470.30,879.06,7.15,10.028168,10x,1.425
3,1,218,222.25,740.18,7.85,11.017293,10x,1.425
4,4,136,132.57,819.35,8.11,11.376524,10x,1.425
5,5,190,666.09,322.81,9.72,13.637936,10x,1.425
6,3,210,375.58,608.25,7.96,11.167024,10x,1.425
7,3,65,528.33,898.14,9.71,13.634814,10x,1.425
8,3,120,598.15,400.75,8.41,11.803633,10x,1.425
9,4,219,392.87,154.91,8.97,12.585465,10x,1.425
10,1,178,202.56,322.19,9.26,12.998779,10x,1.425
11,5,54,115.19,377.43,7.85,11.022218,10x,1.425
12,3,157,797.88,695.69,7.15,10.031039,10x,1.425
13,2,210,578.55,605.46,9.52,13.360387,10x,1.425
14,3,117,614.75,312.40,7.32,10.269386,10x,1.425
15,5,182,124.50,363.73,8.18,11.479024,10x,1.425
16,4,25,196.41,128.81,9.51,13.347369,10x,1.425
17,5,23,367.51,433.75,10.13,14.222371,10x,1.425
18,5,48,399.05,186.72,9.80,13.752204,10x,1.425
19,4,110,449.98,345.92,9.10,12.768986,10x,1.425
20,4,248,751.06,430.28,7.86,11.035020,10x,1.425
21,1,100,468.78,833.09,9.00,12.627005,10x,1.425
22,3,271,510.85,240.45,9.60,13.479808,10x,1.425
23,1,10,187.05,417.61,9.69,13.594954,10x,1.425
24,4,208,726.82,350.87,9.94,13.949506,10x,1.425
25,5,72,403.18,690.34,9.07,12.724869,10x,1.425
26,3,3,592.90,807.46,8.85,12.419110,10x,1.425
27,1,90,227.86,792.76,8.60,12.067565,10x,1.425
28,5,132,151.58,720.42,7.50,10.532164,10x,1.425
29,2,5,100.91,331.44,8.05,11.298101,10x,1.425
30,4,125,119.71,350.11,9.57,13.437622,10x,1.425
31,3,209,577.95,895.76,7.25,10.174051,10x,1.425
32,5,200,439.81,347.46,10.61,14.892703,10x,1.425
33,4,159,157.20,223.86,10.33,14.500086,10x,1.425
34,2,3,444.09,569.40,10.65,14.951971,10x,1.425
35,5,139,317.05,328.47,9.29,13.035203,10x,1.425
36,3,55,533.80,378.25,10.01,14.052331,10x,1.425
37,5,60,533.62,101.90,7.80,10.946707,10x,1.425
38,4,298,302.55,368.77,7.68,10.783525,10x,1.425
39,3,208,335.69,693.10,10.13,14.212467,10x,1.425
40,5,137,343.12,724.45,10.22,14.350256,10x,1.425
41,2,56,563.93,329.32,10.24,14.365612,10x,1.425
42,1,227,578.33,639.24,7.64,10.718919,10x,1.425
43,3,214,192.51,310.02,9.96,13.984088,10x,1.425
44,3,89,670.06,468.16,9.92,13.916235,10x,1.425
45,5,247,754.45,848.18,8.74,12.260266,10x,1.425
46,2,166,528.17,764.68,8.19,11.488156,10x,1.425
47,3,16,538.81,419.62,8.76,12.291747,10x,1.425
48,1,196,687.63,358.96,9.15,12.847451,10x,1.425
49,1,282,517.16,463.93,8.60,12.074796,10x,1.425
50,4,258,153.03,253.94,10.09,14.168320,10x,1.425
