droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,3,54,434.94,855.75,9.84,13.806743,10x,1.425
2,3,41,635.44,857.90,9.11,12.781194,10x,1.425
3,2,105,671.29,263.02,7.49,10.512588,10x,1.425
4,4,118,184.06,733.36,8.06,11.318956,10x,1.425
5,3,216,387.37,123.57,9.91,13.911652,10x,1.425
6,2,20,640.27,641.71,9.37,13.150278,10x,1.425
7,2,181,484.47,350.00,9.90,13.889977,10x,1.425
8,5,30,244.02,722.88,9.95,13.960788,10x,1.425
9,4,38,395.30,103.07,8.69,12.191848,10x,1.425
10,3,295,645.15,828.99,7.70,10.805156,10x,1.425
11,2,49,144.11,642.74,9.12,12.804882,10x,1.425
12,3,60,556.37,820.61,8.84,12.401105,10x,1.425
13,3,143,520.10,858.98,7.37,10.338866,10x,1.425
14,1,255,140.99,223.98,9.81,13.762539,10x,1.425
15,4,222,132.11,465.97,8.97,12.593792,10x,1.425
16,1,246,607.90,727.55,9.67,13.567625,10x,1.425
17,5,214,420.44,654.54,7.18,10.077842,10x,1.425
18,2,125,344.89,133.70,8.24,11.569133,10x,1.425
19,3,250,567.92,357.06,9.23,12.961302,10x,1.425
20,5,184,203.81,744.50,7.42,10.420317,10x,1.425
21,2,236,764.94,287.94,8.12,11.395030,10x,1.425
22,4,114,156.97,298.59,9.14,12.823473,10x,1.425
23,2,22,189.98,377.05,7.81,10.963331,10x,1.425
24,4,73,650.06,793.26,10.18,14.286850,10x,1.425
25,4,147,698.09,717.88,8.99,12.610887,10x,1.425
26,5,219,521.75,121.81,9.07,12.734042,10x,1.425
27,4,289,235.41,618.44,10.37,14.548881,10x,1.425
28,1,101,608.44,295.29,8.80,12.348175,10x,1.425
29,2,263,714.88,753.16,7.35,10.320264,10x,1.425
30,5,10,188.48,497.20,9.99,14.018529,10x,1.425
31,5,172,789.68,522.39,8.80,12.353971,10x,1.425
32,2,55,145.97,249.31,8.93,12.536246,10x,1.425
33,3,164,593.53,331.01,7.38,10.351655,10x,1.425
34,5,292,361.60,761.67,7.58,10.635356,10x,1.425
35,5,89,213.87,284.97,7.44,10.439158,10x,1.425
36,4,230,289.91,757.43,9.00,12.633737,10x,1.425
37,4,27,453.95,552.54,8.57,12.022089,10x,1.425
38,1,176,176.66,386.09,7.49,10.512018,10x,1.425
39,2,50,685.39,749.36,8.74,12.268200,10x,1.425
40,5,58,404.68,452.93,9.09,12.750889,10x,1.425
41,1,127,774.79,767.87,9.98,14.000739,10x,1.425
42,1,209,472.68,841.67,7.66,10.755484,10x,1.425
43,4,298,259.81,480.43,8.26,11.588573,10x,1.425
44,5,244,448.86,835.81,8.05,11.304097,10x,1.425
45,1,164,708.27,288.07,9.69,13.595396,10x,1.425
46,2,207,696.73,632.96,9.79,13.746224,10x,1.425
47,1,134,268.32,403.90,8.18,11.475992,10x,1.425
48,3,290,629.34,247.79,7.49,10.506342,10x,1.425
49,5,193,334.31,425.69,7.92,11.110760,10x,1.425
50,1,161,794.71,877.61,9.06,12.713074,10x,1.425
