droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,4,286,764.69,456.31,10.06,14.122563,10x,1.425
2,3,101,251.42,220.30,9.99,14.018111,10x,1.425
3,3,220,518.80,106.34,8.65,12.138990,10x,1.425
4,3,82,777.80,500.54,7.34,10.301080,10x,1.425
5,2,240,579.48,192.39,8.79,12.336798,10x,1.425
6,4,167,734.77,392.42,9.68,13.579299,10x,1.425
7,4,52,142.15,657.63,8.17,11.469801,10x,1.425
8,5,128,106.03,574.16,8.93,12.537093,10x,1.425
9,4,81,204.10,796.30,7.48,10.500818,10x,1.425
10,2,223,498.52,293.86,9.67,13.571490,10x,1.425
11,2,107,711.17,370.77,7.91,11.100239,10x,1.425
12,3,210,607.22,188.58,8.40,11.783858,10x,1.425
13,1,221,152.06,603.32,9.36,13.142980,10x,1.425
14,4,143,480.62,655.86,7.45,10.460650,10x,1.425
15,4,218,124.83,827.35,7.22,10.128961,10x,1.425
16,1,196,197.73,832.34,9.36,13.137503,10x,1.425
17,3,61,447.94,517.12,7.50,10.519579,10x,1.425
18,2,200,362.28,790.51,10.09,14.167477,10x,1.425
19,4,82,391.31,315.55,8.55,12.006601,10x,1.425
20,2,174,749.39,469.04,8.24,11.558143,10x,1.425
21,1,158,310.53,585.64,10.00,14.037672,10x,1.425
22,1,192,262.28,880.53,9.87,13.852881,10x,1.425
23,3,175,170.32,632.00,10.37,14.549777,10x,1.425
24,1,225,428.70,496.70,7.80,10.941125,10x,1.425
25,2,95,534.14,277.02,7.15,10.032197,10x,1.425
26,4,159,799.43,160.27,7.22,10.135243,10x,1.425
27,1,144,359.81,384.81,8.44,11.852125,10x,1.425
28,4,72,251.20,680.61,8.57,12.030155,10x,1.425
29,3,143,644.69,295.46,8.39,11.768964,10x,1.425
30,3,86,105.93,231.74,9.03,12.667156,10x,1.425
31,2,220,524.70,281.85,10.06,14.118634,10x,1.425
32,2,48,225.87,115.14,9.98,14.011518,10x,1.425
33,5,270,116.87,738.34,10.13,14.220596,10x,1.425
34,1,226,476.89,265.47,8.13,11.414782,10x,1.425
35,1,41,244.12,627.27,7.32,10.266877,10x,1.425
36,5,204,148.43,199.00,7.55,10.602911,10x,1.425
37,3,185,168.43,282.78,9.97,13.990503,10x,1.425
38,1,6,253.10,542.80,9.69,13.596215,10x,1.425
39,2,144,443.66,761.13,8.29,11.629020,10x,1.425
40,2,285,213.26,101.07,7.87,11.041479,10x,1.425
41,2,80,313.21,453.24,7.78,10.924924,10x,1.425
42,5,195,385.92,264.96,9.77,13.710349,10x,1.425
43,4,212,753.94,894.50,10.40,14.596258,10x,1.425
44,2,129,110.97,296.24,7.54,10.576771,10x,1.425
45,5,157,219.28,664.64,8.49,11.917100,10x,1.425
46,1,207,544.54,111.04,9.75,13.679473,10x,1.425
47,3,51,316.04,459.66,9.43,13.233987,10x,1.425
48,5,21,614.72,276.32,9.64,13.524169,10x,1.425
49,4,15,731.76,667.21,8.80,12.346815,10x,1.425
50,2,157,676.04,163.48,7.40,10.388510,10x,1.425
