droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,2,82,622.66,209.01,9.78,13.730875,10x,1.425
2,1,272,595.95,716.52,10.34,14.513248,10x,1.425
3,2,222,270.57,203.01,9.65,13.539493,10x,1.425
4,3,96,560.23,570.73,8.16,11.446154,10x,1.425
5,2,162,467.41,593.54,8.98,12.609430,10x,1.425
6,4,173,179.83,113.92,9.58,13.444522,10x,1.425
7,3,272,464.47,275.61,10.68,14.985113,10x,1.425
8,2,126,691.93,713.20,9.83,13.795956,10x,1.425
9,2,193,278.14,330.37,8.42,11.820650,10x,1.425
10,1,263,458.27,207.04,7.57,10.620764,10x,1.425
11,1,215,257.37,370.55,9.91,13.915394,10x,1.425
12,3,196,580.90,398.22,10.10,14.169964,10x,1.425
13,5,168,642.49,166.95,7.23,10.152438,10x,1.425
14,2,149,780.40,217.37,7.71,10.825289,10x,1.425
15,4,45,329.06,134.81,9.90,13.893386,10x,1.425
16,2,256,185.93,858.86,9.30,13.053266,10x,1.425
17,1,53,799.77,775.36,7.53,10.571051,10x,1.425
18,4,35,186.33,375.45,9.03,12.667794,10x,1.425
19,4,72,622.02,424.59,9.84,13.814399,10x,1.425
20,2,300,317.60,751.98,10.03,14.079527,10x,1.425
21,4,23,428.17,470.81,7.68,10.780088,10x,1.425
22,3,238,390.38,664.37,9.47,13.289446,10x,1.425
23,1,31,553.96,683.96,9.64,13.528279,10x,1.425
24,4,171,439.83,372.61,8.79,12.336120,10x,1.425
25,5,99,561.43,163.17,8.16,11.445812,10x,1.425
26,4,242,469.26,711.85,10.52,14.758872,10x,1.425
27,3,169,696.96,771.90,8.52,11.961243,10x,1.425
28,2,65,550.79,155.36,9.14,12.823783,10x,1.425
29,3,271,157.06,140.40,7.25,10.173851,10x,1.425
30,3,46,570.64,786.05,7.75,10.882432,10x,1.425
31,5,165,616.06,156.68,7.88,11.066241,10x,1.425
32,3,227,757.37,703.32,8.04,11.280455,10x,1.425
33,5,298,216.24,354.00,7.19,10.090361,10x,1.425
34,1,222,302.08,753.69,7.27,10.204270,10x,1.425
35,1,241,167.74,289.43,9.75,13.678869,10x,1.425
36,5,238,623.07,576.88,9.56,13.424248,10x,1.425
37,2,69,490.74,853.36,10.06,14.120806,10x,1.425
38,5,22,248.36,855.98,7.93,11.123108,10x,1.425
39,3,132,370.77,754.20,7.69,10.796435,10x,1.425
40,3,239,335.27,210.99,10.03,14.076999,10x,1.425
41,1,248,446.10,350.37,8.28,11.617744,10x,1.425
42,1,151,773.87,580.35,7.86,11.030663,10x,1.425
43,4,16,631.10,800.58,9.78,13.725907,10x,1.425
44,3,19,596.31,435.06,10.44,14.651420,10x,1.425
45,5,48,584.27,826.50,7.78,10.921722,10x,1.425
46,2,187,367.46,763.02,10.07,14.135981,10x,1.425
47,3,170,618.86,296.13,9.11,12.792186,10x,1.425
48,3,237,284.76,422.31,8.69,12.200940,10x,1.425
49,2,30,420.16,668.94,8.50,11.924739,10x,1.425
50,1,23,274.90,422.61,9.56,13.424012,10x,1.425
